salt,vacuum,SBU,smiles
0,0,0,O=C(/C=C/C1=CN=C(C2=NC=C(/C=C/C(O)=O)C=C2)C=C1)O
0,1,0,O=C(C1=CC=C(C2=CC(C3=CC=C(C(O)=O)C=C3)=CC(C4=CC=C(C(O)=O)C=C4)=C2)C=C1)O
0,0,0,O=C(O)C1=CC=C(C#CC2=CC=C(C=C2)C(O)=O)C=C1
0,0,0,O=C(C1=CC=CC=C1/C2=C3C=CC(/C(C4=CC=CC=C4C(O)=O)=C5C=C/C(N/5)=C(C6=CC=CC=C6C(O)=O)/C(C=C/7)=NC7=C(C8=CC=CC=C8C(O)=O)/C9=CC=C2N9)=N\3)O
0,0,0,O=C(C1=CC(/C2=C3C=CC(/C(C4=CC=CC(C(O)=O)=C4)=C5C=C/C(N/5)=C(C6=CC=CC(C(O)=O)=C6)/C(C=C/7)=NC7=C(C8=CC=CC(C(O)=O)=C8)/C9=CC=C2N9)=N\3)=CC=C1)O
0,0,0,O=C(C1=CC=C(/C2=C3C=CC(/C(C4=CC=C(C(O)=O)C=C4)=C5C=C/C(N/5)=C(C6=CC=C(C(O)=O)C=C6)/C(C=C/7)=NC7=C(C8=CC=C(C(O)=O)C=C8)/C9=CC=C2N9)=N\3)C=C1)O
1,0,0,O=C(C1=CC=C(C2=CC=C(/C3=C4C=CC(/C(C5=CC=C(C6=CC=C(C(O)=O)C=C6)C=C5)=C(N/7)/C=CC7=C(C8=CC=C(C9=CC=C(C(O)=O)C=C9)C=C8)\C%10=N/C(C=C%10)=C(C%11=CC=C(C%12=CC=C(C(O)=O)C=C%12)C=C%11)\C%13=CC=C3N%13)=N\4)C=C2)C=C1)O
0,0,0,O=C(C1=CC=C(C2=CC=C(C(O)=O)C=C2)C=C1)O
0,1,0,O=C(C1=CC=C(C2=C(C=CC3=C4C(C=C5)=C(C6=CC=C(C(O)=O)C=C6)C=C3C7=CC=C(C(O)=O)C=C7)C4=C5C(C8=CC=C(C(O)=O)C=C8)=C2)C=C1)O
0,0,0,O=C(C1=CC=C(C2=CC(C3=CC(C4=CC=C(C(O)=O)C=C4)=CC(C5=CC=C(C(O)=O)C=C5)=C3)=CC(C6=CC=C(C(O)=O)C=C6)=C2)C=C1)O
0,0,0,O=C(C1=CC=C(/C2=C3C=CC(/C(C4=CC=C(C(O)=O)C=C4)=C5C=C/C(N/5)=C(C6=CC=C(C(O)=O)C=C6)/C(C=C/7)=NC7=C(C8=CC=C(C(O)=O)C=C8)/C9=CC=C2N9)=N\3)C=C1)O
0,0,0,CC(C=C1C(C=C2)=CC=C2C(O)=O)=C(C=C1C)C3=CC=C(C=C3)C(O)=O
0,0,0,CC1=C(C2=CC=C(C(O)=O)C=C2)C(C)=C(C)C(C3=CC=C(C(O)=O)C=C3)=C1C
0,0,0,OC(C1=CC=C(C=C1)C2=CC(N=[N+]=[N-])=C(C3=CC=C(C(O)=O)C=C3)C=C2N=[N+]=[N-])=O
